Covesion Ltd.
MSHG2600-1.0-xx Phase matching data v1.0
Disclaimer: Please note these are calculated values only and actual values may vary.

Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm,,Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm
172.12,2336.2693095207,2454.4787311554,,,,,57.88,3279.2440396547,3125.7049810886,2954.6222639084,2844.5942306519,
172.8,2336.7252850532,2455.179681778,,,,,57.2,3279.6507483721,3126.2055456638,2955.3800630569,2845.8425521851,
173.48,2337.1812605858,2455.8877849579,,,,,56.52,3280.0574570894,3126.706110239,2956.1309099197,2847.0785140991,
174.16,2337.6372361183,2456.5887355804,,,,,55.84,3280.4563444853,3127.2014605999,2956.8748044968,2848.302116394,
174.84,2338.0932116508,2457.2968387604,,,,,55.16,3280.8630532026,3127.6968109608,2957.6186990738,2849.5133590698,
175.52,2338.5491871834,2458.0120944977,,,,,54.48,3281.2619405985,3128.1921613216,2958.3556413651,2850.7122421265,
176.2,2339.0051627159,2458.727350235,,,,,53.8,3281.6608279944,3128.6875116825,2959.0925836563,2851.9049453735,
176.88,2339.4700789452,2459.4426059723,,,,,53.12,3282.0675367117,3129.1776478291,2959.8295259476,2853.0852890015,2715.9295
177.56,2339.9349951744,2460.165014267,,,,,52.44,3282.4664241076,3129.6677839756,2960.5595159531,2854.2470932007,2725.246208
178.24,2340.3999114037,2460.8874225616,,,,,51.76,3282.8574901819,3130.1579201222,2961.2825536728,2855.4088973999,2732.7871704102
178.92,2340.8558869362,2461.6169834137,,,,,51.08,3283.2563775778,3130.6480562687,2962.0125436783,2856.5521621704,2737.8298950195
179.6,2341.3297438621,2462.3465442657,,,,,50.4,3283.6552649736,3131.1329782009,2962.7286291122,2857.6892471313,2742.2354125977
180.28,2341.7946600914,2463.0761051178,,,,,49.72,3284.0541523695,3131.6179001331,2963.451666832,2858.8201522827,2746.1849975586
180.96,2342.2595763206,2463.8128185272,,,,,49.04,3284.4452184439,3132.1028220654,2964.1607999802,2859.9325180054,2749.8049926758
181.64,2342.7244925499,2464.5495319366,,,,,48.36,3284.8362845182,3132.5877439976,2964.8768854141,2861.044883728,2753.1677246094
182.32,2343.1983494759,2465.2933979034,,,,,47.68,3285.2351719141,3133.0674517155,2965.5860185623,2862.1448898315,2756.3098144531
183,2343.6722064018,2466.0372638702,,,,,47,3285.6262379885,3133.5471594334,2966.2951517105,2863.2325363159,2759.2834472656
183.68,2344.1460633278,2466.7882823944,,,,,46.32,3286.0173040628,3134.0268671513,2966.9973325729,2864.3140029907,2762.1032714844
184.36,2344.6199202537,2467.5393009186,,,,,45.64,3286.4083701372,3134.5065748692,2967.6995134354,2865.3831100464,2764.7912597656
185.04,2345.0937771797,2468.2974720001,,,,,44.96,3286.7994362116,3134.9810683727,2968.394742012,2866.4522171021,2767.3648071289
185.72,2345.5676341057,2469.0556430817,,,,,44.28,3287.1826809645,3135.4607760906,2969.0899705887,2867.502784729,2769.836730957
186.4,2346.0414910316,2469.8138141632,,,,,43.6,3287.5737470388,3135.9352695942,2969.7782468796,2868.553352356,2772.2207641602
187.08,2346.5242886543,2470.5791378021,,,,,42.92,3287.9569917917,3136.4045488834,2970.4734754562,2869.5915603638,2774.5278930664
187.76,2346.9981455803,2471.344461441,,,,,42.24,3288.3480578661,3136.879042387,2971.1547994614,2870.623588562,2776.7526245117
188.44,2347.480943203,2472.1169376373,,,,,41.56,3288.731302619,3137.3483216763,2971.8430757523,2871.6494369507,2778.9169311523
189.12,2347.9637408256,2472.896566391,,,,,40.88,3289.1145473719,3137.8176009655,2972.5243997574,2872.6675605774,2781.0208129883
189.8,2348.4465384483,2473.6761951447,,,,,40.2,3289.4977921248,3138.2868802547,2973.1987714767,2873.6779594421,2783.0642700195
190.48,2348.929336071,2474.4558238983,,,,,39.52,3289.8810368776,3138.7509453297,2973.8731431961,2874.6790885925,2785.0527954102
191.16,2349.4210743904,2475.2426052093,,,,,38.84,3290.2642816305,3139.2202246189,2974.5475149155,2875.6709480286,2786.9973754883
191.84,2349.9038720131,2476.0293865204,,,,,38.16,3290.6475263834,3139.6842896938,2975.2149343491,2876.6535377502,2788.8966369629
192.52,2350.3956103325,2476.8233203888,,,,,37.48,3291.0229498148,3140.1483547688,2975.8893060684,2877.6361274719,2790.750579834
193.2,2350.8784079552,2477.6172542572,,,,,36.8,3291.4061945677,3140.6072056294,2976.5497732162,2878.6094474792,2792.5633239746
193.88,2351.3701462746,2478.418340683,,,,,36.12,3291.7816179991,3141.0712707043,2977.2102403641,2879.5827674866,2794.3348693848
194.56,2351.861884594,2479.2265796661,,,,,35.44,3292.1570414305,3141.5301215649,2977.8707075119,2880.5375480652,2796.0816955566
195.24,2352.3625636101,2480.0348186493,,,,,34.76,3292.5402861834,3141.9889724255,2978.5311746597,2881.4923286438,2797.787322998
195.92,2352.8543019295,2480.8430576324,,,,,34.08,3292.9157096148,3142.4478232861,2979.1846895218,2882.4378395081,2799.4599914551
196.6,2353.3460402489,2481.658449173,,,,,33.4,3293.2911330462,3142.9014599323,2979.8382043839,2883.3833503723,2801.1079406738
197.28,2353.846719265,2482.4809932709,,,,,32.72,3293.6665564776,3143.3550965786,2980.4847669601,2884.3195915222,2802.7229309082
197.96,2354.3473982811,2483.3035373688,,,,,32.04,3294.0341585875,3143.8087332249,2981.1313295364,2885.2465629578,2804.3132019043
198.64,2354.8391366005,2484.1260814667,,,,,31.36,3294.4095820189,3144.2623698711,2981.7778921127,2886.164264679,2805.870513916
199.32,2355.3398156166,2484.9629306793,,,,,30.68,3294.7850054503,3144.7160065174,2982.4175024033,2887.0819664001,2807.4113464355
200.01,2355.8494353294,2485.7926273346,,,,,30,3295.1526075602,3145.1644289494,2983.0571126938,2887.9996681213,2808.9192199707
