Covesion Ltd.
MSHG2600-1.0-xx Phase matching data v1.0
Disclaimer: Please note these are calculated values only and actual values may vary.

Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm,,Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm
51.08,2270.4926037788,2361.4999556541,2478.2967472076,2562.1025466919,2668.699798584,,178.92,3191.5552937985,3010.1154088974,,,
51.76,2270.7965874672,2361.8933463097,2478.9261722565,2563.1554031372,2673.6518859863,,178.24,3192.1445000172,3010.9635877609,,,
52.44,2271.0916304588,2362.2867369652,2479.5627498627,2564.2197036743,2679.6586608887,,177.56,3192.7337062359,3011.8048143387,,,
53.12,2271.3866734505,2362.6801276207,2480.1993274689,2565.3011703491,2687.9231262207,,176.88,3193.3229124546,3012.6460409164,,,
53.8,2271.6906571388,2363.0735182762,2480.8430576324,2566.3883590698,2700,,176.2,3193.9121186733,3013.4872674942,,,
54.48,2271.9857001305,2363.4669089317,2481.486787796,2567.4812698364,,,175.52,3194.4961106777,3014.3215417862,,,
55.16,2272.2896838188,2363.869240284,2482.1305179596,2568.5913467407,,,174.84,3195.0801026821,3015.1488637924,,,
55.84,2272.5936675072,2364.2715716362,2482.7814006805,2569.7128677368,,,174.16,3195.6640946865,3015.9831380844,,,
56.52,2272.8976511955,2364.6649622917,2483.4322834015,2570.8458328247,,,173.48,3196.2480866909,3016.8104600906,,,
57.2,2273.1926941872,2365.0672936439,2484.0903186798,2571.9902420044,,,172.8,3196.826864481,3017.6308298111,,,
57.88,2273.4966778755,2365.4696249962,2484.7483539581,2573.1460952759,,,172.12,3197.405642271,3018.4511995316,,,
58.56,2273.8006615639,2365.8719563484,2485.4135417938,2574.3133926392,,,171.44,3197.9844200611,3019.2646169663,,,
59.24,2274.1135859489,2366.2832283974,2486.0787296295,2575.4921340942,,,170.76,3198.5631978512,3020.0849866867,,,
59.92,2274.4175696373,2366.6855597496,2486.7439174652,2576.688041687,,,170.08,3199.1367614269,3020.8914518356,,,
60.6,2274.7215533256,2367.0968317986,2487.4162578583,2577.8982543945,,,169.4,3199.7103250027,3021.7048692703,,,
61.28,2275.025537014,2367.4991631508,2488.0957508087,2579.1159057617,,,168.72,3200.2838885784,3022.5043821335,,,
61.96,2275.3384613991,2367.9104351997,2488.7752437592,2580.3610229492,,,168.04,3200.8574521542,3023.3108472824,,,
62.64,2275.6424450874,2368.3217072487,2489.4547367096,2581.6061401367,,,167.36,3201.4258015156,3024.1103601456,,,
63.32,2275.9553694725,2368.7329792976,2490.1413822174,2582.8787231445,,,166.68,3201.994150877,3024.9098730087,,,
64,2276.2682938576,2369.1531920433,2490.8280277252,2584.1604614258,,,166,3202.5625002384,3025.7024335861,,,
64.68,2276.5812182426,2369.5644640923,2491.5218257904,2585.4605102539,,,165.32,3203.1308495998,3026.4949941635,,,
65.36,2276.885201931,2369.9757361412,2492.2156238556,2586.7788696289,,,164.64,3203.6991989613,3027.2806024551,,,
66.04,2277.1981263161,2370.3959488869,2492.9165744781,2588.1063842773,,,163.96,3204.2623341084,3028.0731630325,,,
66.72,2277.5110507011,2370.8161616325,2493.6175251007,2589.4613647461,,,163.28,3204.8254692555,3028.8518190384,,,
67.4,2277.8329157829,2371.2363743782,2494.3256282806,2590.8346557617,,,162.6,3205.3886044025,3029.63742733,,,
68.08,2278.145840168,2371.6565871239,2495.0337314606,2592.2262573242,,,161.92,3205.9517395496,3030.4160833359,,,
68.76,2278.4587645531,2372.0767998695,2495.7489871979,2593.6361694336,,,161.24,3206.5096604824,3031.187787056,,,
69.44,2278.7716889381,2372.4970126152,2496.4713954926,2595.0643920898,,,160.56,3207.0675814152,3031.9594907761,,,
70.12,2279.0935540199,2372.9261660576,2497.1866512299,2596.5200805664,,,159.88,3207.625502348,3032.7311944962,,,
70.8,2279.406478405,2373.3463788032,2497.9162120819,2597.9940795898,,,159.2,3208.1834232807,3033.5028982163,2702.624206543,,
71.48,2279.7283434868,2373.7755322456,2498.645772934,2599.4955444336,,,158.52,3208.7361299992,3034.2676496506,2734.2593383789,,
72.16,2280.0502085686,2374.204685688,2499.375333786,2601.0217285156,,,157.84,3209.2888367176,3035.0254487991,2742.0761108398,,
72.84,2280.3720736504,2374.6338391304,2500.1120471954,2602.5744628906,,,157.16,3209.8415434361,3035.7902002335,2748.2559204102,,
73.52,2280.6849980354,2375.0629925728,2500.8559131622,2604.1491699219,,,156.48,3210.3942501545,3036.547999382,2753.5339355469,,
74.2,2281.0068631172,2375.5010867119,2501.599779129,2605.7531738281,,,155.8,3210.9469568729,3037.2988462448,2758.2141113281,,
74.88,2281.328728199,2375.9302401543,2502.3436450958,2607.3864746094,,,155.12,3211.4944493771,3038.0566453934,2762.4621582031,,
75.56,2281.6595339775,2376.3683342934,2503.1018161774,2609.0563964844,,,154.44,3212.0419418812,3038.8074922562,2766.3870239258,,
76.24,2281.9813990593,2376.7974877357,2503.8528347015,2610.7556152344,,,153.76,3212.5894343853,3039.5513868332,2770.0454711914,,
76.92,2282.3032641411,2377.2355818748,2504.6181583405,2612.4914550781,,,153.08,3213.1369268894,3040.302233696,2773.4896850586,,
77.6,2282.6340699196,2377.6736760139,2505.3834819794,2614.2639160156,,,152.4,3213.6792051792,3041.0391759872,2776.7526245117,,
78.28,2282.9559350014,2378.1207108498,2506.1488056183,2616.0684204102,,,151.72,3214.221483469,3041.7830705643,2779.856262207,,
78.96,2283.2867407799,2378.5588049889,2506.9284343719,2617.9196166992,,,151.04,3214.7637617588,3042.5200128555,2782.8280639648,,
79.64,2283.6086058617,2378.996899128,2507.7009105682,2619.8147583008,,,150.36,3215.3060400486,3043.2569551468,2785.6735229492,,
80.32,2283.9394116402,2379.4439339638,2508.4876918793,2621.7593383789,,,149.68,3215.8483183384,3043.9938974381,2788.4187316895,,
81,2284.2702174187,2379.8909687996,2509.2744731903,2623.7478637695,,,149,3216.3853824139,3044.7238874435,2791.0719299316,,
81.68,2284.6010231972,2380.3380036354,2510.0612545013,2625.7968139648,,,148.32,3216.9224464893,3045.453877449,2793.6262512207,,
82.36,2284.9318289757,2380.7859325409,2510.8623409271,2627.9006958008,,,147.64,3217.4595105648,3046.1769151688,2796.114654541,,
83.04,2285.2626347542,2381.229391098,2511.6634273529,2630.0704956055,,,146.96,3217.9965746403,3046.8999528885,2798.5289001465,,
83.72,2285.5934405327,2381.6800022125,2512.4645137787,2632.3062133789,,,146.28,3218.5284245014,3047.6229906082,2800.8689880371,,
84.4,2285.9242463112,2382.1377658844,2513.2799053192,2634.6188354492,,,145.6,3219.0654885769,3048.3460283279,2803.1596374512,,
85.08,2286.2639927864,2382.5883769989,2514.0881443024,2637.0138549805,,,144.92,3219.597338438,3049.0621137619,2805.3843688965,,
85.76,2286.5947985649,2383.0389881134,2514.9106884003,2639.5063781738,,,144.24,3220.1291882992,3049.7781991959,2807.5596618652,,
86.44,2286.9345450401,2383.4967517853,2515.7332324982,2642.0936584473,,,143.56,3220.655823946,3050.4873323441,2809.6855163574,,
87.12,2287.2653508186,2383.9545154572,2516.5629291534,2644.8045349121,,,142.88,3221.1876738071,3051.1964654923,2811.7701721191,,
87.8,2287.6050972938,2384.412279129,2517.3997783661,2647.6390075684,,,142.2,3221.714309454,3051.9055986404,2813.8053894043,,
88.48,2287.9448437691,2384.8771953583,2518.2366275787,2650.6300354004,,,141.52,3222.2409451008,3052.6147317886,2815.799407959,,
89.16,2288.2845902443,2385.3349590301,2519.0877819061,2653.8023376465,,,140.84,3222.7675807476,3053.3169126511,2817.7604675293,,
89.84,2288.6243367195,2385.7998752594,2519.9317836761,2657.188873291,,,140.16,3223.2890021801,3054.0190935135,2819.6803283691,,
90.52,2288.9640831947,2386.2647914886,2520.7900905609,2660.8390808105,,,139.48,3223.8104236126,3054.7212743759,2821.5682601929,,
91.2,2289.3038296699,2386.7297077179,2521.6534042358,2664.8188781738,,,138.8,3224.3370592594,3055.4165029526,2823.422203064,,
91.88,2289.6435761452,2387.1946239471,2522.5174331665,2669.2436218262,,,138.12,3224.8532664776,3056.1117315292,2825.2452468872,,
92.56,2289.9922633171,2387.6595401764,2523.392906189,2674.2863464355,,,137.44,3225.3746879101,3056.8069601059,2827.0435714722,,
93.24,2290.3320097923,2388.131608963,2524.2683792114,2680.3096008301,,,136.76,3225.8961093426,3057.5021886826,2828.8048171997,,
93.92,2290.6806969643,2388.6036777496,2525.1495742798,2688.2939147949,,,136.08,3226.4123165607,3058.1904649735,2830.541343689,,
94.6,2291.0204434395,2389.0757465363,2526.0422134399,2700,,,135.4,3226.9285237789,3058.8787412643,2832.2593307495,,
95.28,2291.3691306114,2389.5478153229,2526.9348526001,,,,134.72,3227.4447309971,3059.5600652695,2833.9402389526,,
95.96,2291.7178177834,2390.0270366669,2527.8389358521,,,,134.04,3227.9609382153,3060.2413892746,2835.6087875366,,
96.64,2292.0665049553,2390.5062580109,2528.743019104,,,,133.36,3228.4719312191,3060.9227132797,2837.2464370728,,
97.32,2292.4151921272,2390.9783267975,2529.6585464478,,,,132.68,3228.982924223,3061.6040372849,2838.8655471802,,
98,2292.7638792992,2391.4647006988,2530.5797958374,,,,132,3229.4939172268,3062.2792780399,2840.4599380493,,
98.68,2293.1125664711,2391.9439220428,2531.5010452271,,,,131.32,3230.0049102306,3062.9571259022,2842.0357894897,,
99.36,2293.461253643,2392.4231433868,2532.4337387085,,,,130.64,3230.5159032345,3063.6297595501,2843.5931015015,,
100.04,2293.8188815117,2392.9095172882,2533.3721542358,,,,129.96,3231.021682024,3064.2971789837,2845.1318740845,,
100.72,2294.1675686836,2393.3958911896,2534.322013855,,,,129.28,3231.5326750279,3064.9698126316,2846.6459274292,,
